date,qoe_tk_per_kwh,c7_binding,consumer,substation,slot,action,value,private_tk_per_kwh,system_tk_per_kwh,discomfort_tk_per_kwh,margin,pi_i_t,kappa,lambda_h,y_max_h,at_cap,lambda_star,energy_kwh,clock,pi_off
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,0,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,31.470806236668118,00:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,2,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,20.775096927318167,01:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,3,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,23.66039424092004,01:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,6,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,12.961208237024023,03:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,10,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,12.884266880552266,05:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,12,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,10.616333916739164,06:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,13,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,7.697139966569584,06:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,15,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,7.697139966569584,07:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,17,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,7.697139966569584,08:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,18,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,24.67963738679539,09:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,20,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,14.315400147636037,10:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,21,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,14.422741051769083,10:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,22,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,14.516416576788025,11:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,31,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,25.276187337489535,15:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,33,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,14.516416576788025,16:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,35,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,32.628874030944786,17:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,36,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,21.89240323774693,18:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,37,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,14.063223435021369,18:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,39,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,21.510507437985527,19:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,42,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,13.523912933632538,21:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,45,curtail,0.3721498453270881,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,False,0.34497786180274437,9.501461979139378,22:30,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,46,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,13.255108301930308,23:00,
2026-07-01,4.492650721013547,True,DHNC0127,Dhanmondi,47,curtail,0.41581674838350086,5.569001251709435,9.62808611082345,10.704436641519337,0.0,8.39,1.147566878524845,0.4842609784095161,0.41581674838350086,True,0.34497786180274437,20.9008144331829,23:30,
2026-07-01,1.0507057308825107,True,DHNC0130,Dhanmondi,0,curtail,0.39692719372563895,4.195390345328458,9.62808611082345,12.7727707252694,-1.7763568394002505e-15,8.39,1.147566878524845,0.34672647482053376,0.39692719372563895,True,0.31353086569947913,5.964671588315412,00:00,
