nodeId,household_id,month,baseline_bill_bdt,optimised_bill_bdt,saving_bdt,saving_pct,energy_kwh,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq,mean_temp_c,max_temp_c,hot_days,mean_humidity_pct,rain_mm,label
BILL_KHH0068_2024_01,KHH0068,2024-01,1648.0,1528.6,119.4,7.24,185.8,18.23,3.6,98.1,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0069_2024_01,KHH0069,2024-01,1530.1,1313.6,216.4,14.15,177.9,41.4,4.26,195.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0070_2024_01,KHH0070,2024-01,1677.6,1489.8,187.8,11.19,196.8,31.85,5.35,164.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0071_2024_01,KHH0071,2024-01,937.7,835.7,102.0,10.88,119.4,10.86,6.07,85.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0072_2024_01,KHH0072,2024-01,1222.4,1067.7,154.6,12.65,143.6,27.96,3.7,137.7,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0073_2024_01,KHH0073,2024-01,1589.4,1367.0,222.4,13.99,186.7,31.47,8.88,188.1,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0074_2024_01,KHH0074,2024-01,1736.5,1514.5,222.0,12.78,202.9,39.15,5.71,196.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0075_2024_01,KHH0075,2024-01,2625.8,2372.3,253.4,9.65,301.5,43.69,5.61,214.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0076_2024_01,KHH0076,2024-01,1195.7,1074.3,121.4,10.15,148.8,23.88,2.76,114.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0077_2024_01,KHH0077,2024-01,1338.7,1170.0,168.7,12.6,158.9,25.55,6.05,144.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0078_2024_01,KHH0078,2024-01,1177.5,1016.5,160.9,13.67,144.5,27.04,5.54,146.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0079_2024_01,KHH0079,2024-01,1588.2,1402.1,186.1,11.72,177.7,29.16,5.31,153.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0080_2024_01,KHH0080,2024-01,3908.8,3524.0,384.8,9.84,277.3,44.46,4.38,208.5,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0081_2024_01,KHH0081,2024-01,1227.3,1113.2,114.1,9.3,154.6,19.02,3.99,104.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0082_2024_01,KHH0082,2024-01,1725.5,1559.7,165.7,9.61,193.0,22.65,6.08,133.2,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0083_2024_01,KHH0083,2024-01,1738.9,1633.3,105.6,6.07,201.7,5.61,7.47,74.7,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0084_2024_01,KHH0084,2024-01,2003.6,1868.4,135.2,6.75,144.8,9.66,3.97,66.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0085_2024_01,KHH0085,2024-01,1115.3,959.2,156.1,13.99,128.8,21.74,6.38,131.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0086_2024_01,KHH0086,2024-01,2527.1,2285.1,242.0,9.57,285.6,44.75,4.12,207.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0087_2024_01,KHH0087,2024-01,1244.6,1117.5,127.1,10.21,147.9,21.65,3.58,111.7,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0088_2024_01,KHH0088,2024-01,1320.5,1178.7,141.8,10.74,164.3,26.68,3.72,132.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0089_2024_01,KHH0089,2024-01,1078.4,982.6,95.9,8.89,127.5,11.97,4.48,79.2,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0090_2024_01,KHH0090,2024-01,4513.7,4153.6,360.2,7.98,282.0,28.01,6.85,160.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0091_2024_01,KHH0091,2024-01,1541.8,1405.9,135.9,8.82,177.0,28.05,1.13,120.1,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0092_2024_01,KHH0092,2024-01,3737.4,3228.1,509.3,13.63,231.0,40.21,9.44,226.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0093_2024_01,KHH0093,2024-01,1949.4,1725.6,223.8,11.48,121.8,16.93,4.45,98.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0094_2024_01,KHH0094,2024-01,2093.7,1907.7,186.1,8.89,241.3,31.05,4.54,155.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0095_2024_01,KHH0095,2024-01,844.2,762.6,81.6,9.67,107.2,14.19,2.62,75.1,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0096_2024_01,KHH0096,2024-01,1452.8,1318.5,134.2,9.24,172.4,22.23,4.04,117.2,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0097_2024_01,KHH0097,2024-01,1247.8,1102.8,145.0,11.62,156.1,21.33,6.23,128.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0098_2024_01,KHH0098,2024-01,1881.0,1695.0,186.0,9.89,216.5,29.28,5.25,153.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0099_2024_01,KHH0099,2024-01,929.0,846.1,82.9,8.93,112.3,1.4,7.52,58.3,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0100_2024_01,KHH0100,2024-01,1443.5,1288.3,155.2,10.75,169.7,19.03,7.4,127.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0101_2024_01,KHH0101,2024-01,1065.6,972.1,93.5,8.77,127.6,16.23,2.51,82.5,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0102_2024_01,KHH0102,2024-01,1278.1,1154.6,123.5,9.66,160.6,10.54,8.41,101.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0103_2024_01,KHH0103,2024-01,4711.0,4711.0,0.0,0.0,294.7,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0104_2024_01,KHH0104,2024-01,5792.1,5792.1,0.0,0.0,363.6,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0105_2024_01,KHH0105,2024-01,5008.5,5008.5,0.0,0.0,309.3,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0106_2024_01,KHH0106,2024-01,3438.9,3438.9,0.0,0.0,250.4,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0107_2024_01,KHH0107,2024-01,1507.6,1507.6,0.0,0.0,172.3,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0108_2024_01,KHH0108,2024-01,4425.6,4425.6,0.0,0.0,316.7,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0109_2024_01,KHH0109,2024-01,2213.3,2213.3,0.0,0.0,247.0,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0110_2024_01,KHH0110,2024-01,2785.4,2785.4,0.0,0.0,195.7,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0111_2024_01,KHH0111,2024-01,4891.2,4891.2,0.0,0.0,353.6,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0112_2024_01,KHH0112,2024-01,2446.4,2446.4,0.0,0.0,280.8,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0113_2024_01,KHH0113,2024-01,1653.3,1653.3,0.0,0.0,195.6,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0114_2024_01,KHH0114,2024-01,3990.4,3990.4,0.0,0.0,281.6,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0115_2024_01,KHH0115,2024-01,5205.8,5205.8,0.0,0.0,324.0,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0116_2024_01,KHH0116,2024-01,3212.3,3212.3,0.0,0.0,228.0,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0117_2024_01,KHH0117,2024-01,3063.3,3063.3,0.0,0.0,216.9,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0118_2024_01,KHH0118,2024-01,4948.5,4948.5,0.0,0.0,309.0,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0119_2024_01,KHH0119,2024-01,3541.3,3541.3,0.0,0.0,224.4,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0120_2024_01,KHH0120,2024-01,6254.7,6254.7,0.0,0.0,396.2,0.0,0.0,0.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0001_2024_02,KHH0001,2024-02,889.1,816.3,72.8,8.19,113.8,9.04,3.81,33.3,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0002_2024_02,KHH0002,2024-02,688.8,627.3,61.6,8.94,88.4,0.0,6.33,25.3,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0003_2024_02,KHH0003,2024-02,640.0,534.5,105.5,16.48,78.3,15.28,4.62,49.1,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0004_2024_02,KHH0004,2024-02,873.5,818.9,54.6,6.25,111.3,5.09,3.55,24.4,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0005_2024_02,KHH0005,2024-02,188.0,158.5,29.5,15.7,30.6,0.0,4.16,16.6,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0006_2024_02,KHH0006,2024-02,921.2,835.2,86.0,9.34,114.6,9.41,5.02,38.9,21.2,30.5,0,69.5,16.5,MonthlyBill
