date,actual_mw,pred_mw,pred_mw_k1,robust_mw_k1,pred_mw_k2,robust_mw_k2,pred_mw_k3,robust_mw_k3,pred_mw_k4,robust_mw_k4,pred_mw_k5,robust_mw_k5,pred_mw_k6,robust_mw_k6,pred_mw_k7,robust_mw_k7,pred_mw_k8,robust_mw_k8,pred_mw_k9,robust_mw_k9,pred_mw_k10,robust_mw_k10,pred_mw_k11,robust_mw_k11,pred_mw_k12,robust_mw_k12,pred_mw_k13,robust_mw_k13,pred_mw_k14,robust_mw_k14,pred_mw_k15,robust_mw_k15
2019-12-09,74.0,69.97,69.97,83.221,70.244,84.67,70.671,85.853,70.861,86.527,71.068,87.002,71.028,87.237,71.156,87.615,71.269,87.884,71.303,88.064,71.394,88.393,71.54,88.396,71.611,88.487,71.678,88.548,71.742,88.683,71.781,88.972
2019-12-10,75.0,68.94,68.94,82.192,69.242,83.668,69.686,84.868,69.921,85.587,70.129,86.063,70.114,86.324,70.243,86.703,70.411,87.025,70.479,87.241,70.555,87.554,70.709,87.566,70.768,87.643,70.784,87.655,70.882,87.823,70.914,88.105
2019-12-11,72.0,69.042,69.042,82.293,69.351,83.777,69.801,84.982,70.046,85.712,70.264,86.198,70.256,86.465,70.391,86.85,70.56,87.175,70.632,87.393,70.708,87.707,70.864,87.721,70.919,87.795,70.936,87.806,71.041,87.982,71.078,88.268
2019-12-12,63.0,69.893,69.893,83.144,70.162,84.588,70.651,85.833,70.901,86.567,71.092,87.025,71.109,87.318,71.245,87.704,71.391,88.006,71.447,88.208,71.527,88.526,71.656,88.513,71.711,88.587,71.743,88.613,71.815,88.756,71.892,89.083
2019-12-13,63.0,69.096,69.096,82.348,69.419,83.845,69.892,85.074,70.166,85.832,70.415,86.349,70.425,86.634,70.577,87.037,70.752,87.366,70.832,87.593,70.908,87.907,71.073,87.93,71.123,87.999,71.144,88.015,71.269,88.211,71.329,88.52
2019-12-14,72.0,69.264,69.264,82.515,69.64,84.066,70.158,85.34,70.47,86.136,70.775,86.709,70.777,86.987,70.954,87.414,71.18,87.794,71.264,88.026,71.306,88.306,71.523,88.38,71.578,88.454,71.583,88.453,71.716,88.658,71.781,88.972
2019-12-15,57.0,69.846,69.846,83.098,70.25,84.676,70.74,85.922,71.062,86.727,71.379,87.313,71.377,87.586,71.552,88.011,71.774,88.389,71.879,88.64,71.926,88.925,72.135,88.992,72.176,89.051,72.165,89.036,72.319,89.261,72.353,89.544
2019-12-16,63.0,68.072,68.072,81.323,68.424,82.85,68.993,84.175,69.301,84.967,69.624,85.558,69.621,85.83,69.808,86.267,70.047,86.661,70.128,86.89,70.152,87.151,70.404,87.261,70.481,87.356,70.501,87.371,70.628,87.569,70.747,87.938
2019-12-17,63.0,67.509,67.509,80.761,67.87,82.296,68.477,83.659,68.789,84.455,69.136,85.07,69.118,85.327,69.314,85.774,69.583,86.198,69.662,86.423,69.659,86.659,69.951,86.808,70.044,86.92,70.062,86.932,70.181,87.122,70.321,87.511
2019-12-18,60.0,67.24,67.24,80.492,67.588,82.014,68.197,83.379,68.502,84.168,68.843,84.777,68.825,85.034,69.019,85.479,69.283,85.897,69.36,86.121,69.359,86.358,69.65,86.506,69.746,86.622,69.77,86.64,69.886,86.827,70.036,87.226
2019-12-19,57.0,66.592,66.592,79.843,66.867,81.293,67.45,82.632,67.722,83.387,68.015,83.949,68.017,84.227,68.195,84.654,68.399,85.013,68.474,85.235,68.512,85.512,68.752,85.608,68.846,85.722,68.901,85.772,69.017,85.959,69.196,86.386
2019-12-20,63.0,65.644,65.644,78.895,65.854,80.28,66.436,81.618,66.678,82.344,66.941,82.874,66.953,83.163,67.121,83.58,67.286,83.9,67.358,84.119,67.418,84.417,67.632,84.489,67.733,84.609,67.818,84.688,67.929,84.871,68.148,85.339
2019-12-21,63.0,65.351,65.351,78.603,65.549,79.975,66.136,81.318,66.373,82.039,66.632,82.566,66.645,82.854,66.811,83.271,66.973,83.587,67.043,83.805,67.104,84.103,67.319,84.176,67.425,84.301,67.515,84.385,67.624,84.565,67.854,85.045
2019-12-22,63.0,65.631,65.631,78.882,65.839,80.265,66.421,81.603,66.664,82.33,66.926,82.86,66.941,83.15,67.108,83.568,67.271,83.886,67.344,84.105,67.406,84.405,67.618,84.475,67.719,84.595,67.805,84.675,67.917,84.859,68.138,85.329
2019-12-23,63.0,65.09,65.09,78.341,65.28,79.706,65.875,81.057,66.109,81.775,66.37,82.304,66.383,82.593,66.551,83.011,66.712,83.326,66.782,83.543,66.841,83.84,67.06,83.917,67.17,84.045,67.265,84.135,67.373,84.314,67.616,84.806
2019-12-24,60.0,64.626,64.626,77.878,64.799,79.225,65.406,80.588,65.634,81.3,65.893,81.827,65.905,82.114,66.073,82.532,66.231,82.846,66.299,83.061,66.357,83.356,66.581,83.438,66.698,83.574,66.801,83.672,66.905,83.847,67.167,84.357
2019-12-25,69.0,63.658,63.658,76.909,63.797,78.223,64.428,79.61,64.64,80.306,64.896,80.829,64.904,81.114,65.072,81.532,65.226,81.841,65.29,82.052,65.344,82.343,65.579,82.436,65.711,82.587,65.831,82.702,65.927,82.869,66.228,83.418
2019-12-26,69.0,64.803,64.803,78.054,64.98,79.406,65.579,80.761,65.804,81.47,66.059,81.993,66.068,82.278,66.233,82.693,66.392,83.006,66.459,83.221,66.517,83.516,66.738,83.595,66.853,83.728,66.952,83.822,67.054,83.996,67.304,84.495
2019-12-27,63.0,65.607,65.607,78.859,65.812,80.238,66.388,81.57,66.624,82.29,66.879,82.813,66.889,83.099,67.053,83.512,67.214,83.829,67.284,84.046,67.346,84.345,67.557,84.413,67.659,84.535,67.744,84.614,67.851,84.793,68.067,85.258
2019-12-28,63.0,65.542,65.542,78.793,65.744,80.17,66.322,81.504,66.557,82.222,66.811,82.745,66.821,83.031,66.984,83.444,67.146,83.76,67.216,83.977,67.277,84.276,67.488,84.345,67.592,84.468,67.678,84.548,67.785,84.726,68.003,85.194
2019-12-29,63.0,65.404,65.404,78.655,65.601,80.027,66.181,81.363,66.413,82.079,66.666,82.6,66.674,82.884,66.837,83.297,66.998,83.612,67.067,83.828,67.128,84.127,67.34,84.197,67.446,84.322,67.534,84.404,67.639,84.58,67.862,85.052
2019-12-30,63.0,65.021,65.021,78.272,65.204,79.63,65.793,80.975,66.018,81.684,66.268,82.202,66.275,82.485,66.438,82.897,66.596,83.211,66.663,83.425,66.723,83.722,66.939,83.796,67.051,83.927,67.146,84.016,67.247,84.189,67.485,84.675
2019-12-31,62.0,64.719,64.719,77.97,64.891,79.317,65.487,80.669,65.707,81.373,65.956,81.89,65.961,82.171,66.123,82.583,66.281,82.895,66.346,83.108,66.404,83.403,66.624,83.481,66.741,83.617,66.841,83.711,66.939,83.88,67.188,84.379
2020-01-01,59.5,64.99,64.99,78.241,65.169,79.595,65.75,80.932,65.965,81.631,66.205,82.139,66.206,82.415,66.362,82.822,66.519,83.134,66.583,83.345,66.643,83.642,66.856,83.713,66.97,83.846,67.064,83.934,67.158,84.099,67.388,84.579
2020-01-02,57.0,65.481,65.481,78.732,65.674,80.1,66.236,81.418,66.451,82.117,66.685,82.619,66.682,82.892,66.834,83.293,66.992,83.606,67.056,83.817,67.117,84.116,67.323,84.179,67.43,84.306,67.513,84.384,67.606,84.548,67.81,85.0
2020-01-03,60.0,64.626,64.626,77.878,64.788,79.214,65.371,80.553,65.572,81.237,65.801,81.735,65.795,82.004,65.946,82.405,66.099,82.714,66.16,82.921,66.217,83.216,66.432,83.289,66.554,83.429,66.652,83.522,66.736,83.678,66.973,84.164
2020-01-04,66.0,64.281,64.281,77.532,64.43,78.856,65.018,80.2,65.211,80.876,65.435,81.369,65.426,81.636,65.575,82.035,65.727,82.341,65.785,82.546,65.841,82.84,66.059,82.915,66.186,83.062,66.289,83.16,66.369,83.31,66.617,83.808
2020-01-05,72.0,64.351,64.351,77.603,64.502,78.928,65.088,80.27,65.28,80.946,65.504,81.438,65.494,81.703,65.642,82.102,65.794,82.408,65.852,82.613,65.908,82.907,66.125,82.982,66.251,83.127,66.353,83.223,66.432,83.374,66.677,83.868
2020-01-06,63.0,64.594,64.594,77.845,64.755,79.181,65.337,80.519,65.536,81.202,65.764,81.698,65.757,81.967,65.907,82.367,66.061,82.675,66.12,82.882,66.178,83.177,66.393,83.249,66.515,83.391,66.613,83.483,66.697,83.638,66.934,84.125
2020-01-07,62.0,64.376,64.376,77.627,64.53,78.956,65.12,80.302,65.318,80.984,65.548,81.482,65.542,81.752,65.694,82.153,65.847,82.461,65.906,82.668,65.963,82.962,66.181,83.038,66.306,83.182,66.409,83.279,66.492,83.434,66.741,83.931
