household_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained,saving_per_discomfort,participated
DHNC0021,Dhanmondi,Residential,Res-A,624.1576541510876,0.5043676296708068,1.9360559785324924,19.204278178566046,0.40858818138727016,LT-A,526.9740478661913,447.9279406862627,0.0,79.04610717992871,0,519,1518.0234312160976,77.60818109031193,30,upper-middle,124668.57183878057,6,2.626247607607873,2.606936633291865,6.095899999999999,7909.880458471532,6645.790208610492,77.60818109031193,15.01,30,1.0,526.9740478661913,447.9279406862627,5837.903671395108,4592.097499185843,0.0,5303.880458471532,4117.398389700803,11.078161619217845,10.251866610844525,401-600,401-600,1245.8061722092652,21.339957668598352,1264.0902498610394,79.04610717992864,14.99999999999999,0.019310974316008256,0.7353066885265143,0.85,True,-194.6090779165204,False,0.8206765103824797,True
DHNC0022,Dhanmondi,Residential,Res-B,624.1576541510876,0.24618910663622745,1.3278396925084193,20.97859849235345,0.3241026643548578,LT-A,201.05544159040576,201.05544159040576,0.0,0.0,0,0,0.0,0.0,0,middle,29346.889004572655,5,1.0315974289259442,1.0315974289259442,3.3994999999999997,1829.604518472693,1829.604518472693,0.0,9.1,30,1.0,201.05544159040576,201.05544159040576,1762.302694396327,1762.302694396327,0.0,1535.6045184726925,1535.6045184726925,8.765257386002643,8.765257386002643,201-300,201-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0023,Dhanmondi,Residential,Res-A,624.1576541510876,0.4966541331235024,1.9602222920436079,16.964609160053417,0.3662078765911866,LT-A,500.55083311885903,425.4682081510303,0.0,75.08262496782886,0,601,1273.747387290085,73.42471545201275,30,upper-middle,69960.35073243295,6,2.628288780939809,2.6127759944252196,4.175,7513.268005114073,6312.853088894951,73.42471545201275,15.01,30,1.0,500.55083311885903,425.4682081510303,5336.748905369778,4153.409194564313,0.0,4907.268005114074,3780.277804346965,10.661752118395802,9.76197308046565,401-600,401-600,1183.339710805465,22.173419281817843,1200.4149162191225,75.08262496782874,14.999999999999975,0.01551278651458965,0.5902238227050024,0.85,True,-16.982961032607136,False,0.9290222870038906,True
DHNC0024,Dhanmondi,Residential,Res-A,624.1576541510876,0.6136354036874516,1.9107707947313308,19.75491612223431,0.3505733907306898,LT-A,283.86765050175467,250.36046593183033,0.0,33.507184569924284,0,780,661.9316206710778,33.21622987897094,30,upper-middle,139542.22996152687,5,1.5036973305980017,1.473797301732428,3.8311000000000006,2583.195619565967,2245.0640101006848,33.21622987897094,9.1,30,1.0,283.86765050175467,250.36046593183033,2572.606910544266,2252.4457619786385,0.0,2289.1956195659677,1984.280239979656,9.062698430050112,8.996810872655702,201-300,201-300,320.1611485656276,12.44500849521133,338.13160946528205,33.507184569924334,11.803805227787736,0.029900028865573747,1.9884339924765895,0.8819619477221228,True,-308.55424222647923,False,0.4836770726272945,True
DHNC0025,Dhanmondi,Residential,Res-A,624.1576541510876,0.6254087489698987,2.305279200766038,19.91911104031186,0.40768669340742064,LT-A,423.8766308142349,360.29513619209945,0.0,63.5814946221352,0,605,1266.4868514873026,62.404397036132444,30,upper-middle,149768.987608807,5,2.100299339737067,2.100299339737067,5.1888000000000005,6362.388228521664,5345.625597207281,62.404397036132444,15.01,30,1.0,423.8766308142349,360.29513619209945,4173.033719947749,3395.6672506763966,0.0,3756.3882285216655,3016.0392101679968,9.844925189510136,9.424682460509043,401-600,301-400,777.3664692713523,18.62832944664262,1016.7626313143828,63.58149462213544,15.000000000000048,0.0,0.0,0.8500000000000001,True,-426.71598517981784,False,0.6137975047734998,True
DHNC0026,Dhanmondi,Residential,Res-B,624.1576541510876,0.295143725594001,1.8086529583927473,20.41653380235361,0.42953999476164406,LT-A,202.2819122954843,202.2819122954843,0.0,0.0,0,0,0.0,0.0,0,middle,58164.72536967278,4,1.3717176821698733,1.3717176821698733,3.4705,1840.7654018889073,1840.7654018889073,0.0,9.1,30,1.0,202.2819122954843,202.2819122954843,1777.1527219833524,1777.1527219833524,0.0,1546.765401888907,1546.765401888907,8.785524626578416,8.785524626578416,201-300,201-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0027,Dhanmondi,Residential,Res-B,624.1576541510876,0.2626563606401882,1.1382357781615933,21.651374637645965,0.29938252505440743,LT-A,167.0374377777291,167.0374377777291,0.0,0.0,0,0,0.0,0.0,0,middle,44994.73079120377,4,0.7517654181940183,0.7517654181940183,2.1554,1419.8182211106976,1419.8182211106976,0.0,8.5,30,1.0,167.0374377777291,167.0374377777291,1403.1622721662322,1403.1622721662322,0.0,1245.8182211106973,1245.8182211106973,8.400286132461941,8.400286132461941,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0028,Dhanmondi,Residential,Res-A,624.1576541510876,0.6231867019263932,2.1020175854548864,15.879759404083655,0.3659910449943039,LT-A,520.4087867878437,442.3474687696671,0.0,78.06131801817655,0,714,1239.594948894304,77.1243642937972,30,upper-middle,194794.8267358665,4,2.6831669666775624,2.6831669666775624,4.6756,7811.335889685533,6562.511141938908,77.1243642937972,15.01,30,1.0,520.4087867878437,442.3474687696671,5671.796644169812,4441.511241544338,0.0,5205.335889685534,4033.635506232703,10.898733434495307,10.040774628818005,401-600,401-600,1230.2854026254736,21.691281966008358,1248.8247477466257,78.06131801817662,15.000000000000012,0.0,0.0,0.85,True,67.81481802496683,True,0.9924898481740875,True
DHNC0029,Dhanmondi,Residential,Res-A,624.1576541510876,0.6115283410174804,1.7241812719652938,21.16724678386167,0.4715905239614161,LT-A,453.3056856595353,385.30983281060514,0.0,67.99585284893033,0,658,1439.2849975324518,66.48864811798461,30,upper-middle,159207.38751527361,4,3.219894647834993,3.219894647834993,4.939799999999999,6804.118341749628,5717.0119423692,66.48864811798461,15.01,30,1.0,453.3056856595353,385.30983281060514,4625.869438837106,3637.3598012199222,0.0,4198.118341749625,3256.6805916380213,10.204746124255458,9.440090782754114,401-600,301-400,988.5096376171837,21.369164233603712,1087.1063993804273,67.99585284893016,14.999999999999968,0.0,0.0,0.8499999999999999,True,-384.2867117972835,False,0.6868060455795139,True
DHNC0030,Dhanmondi,Residential,Res-A,624.1576541510876,0.5985967213429374,2.3448462998751674,23.51685486995342,0.3923974768803705,LT-A,249.6599689217642,212.21097358349954,0.0,37.44899533826464,0,565,880.6825883955313,36.80180929686531,30,upper-middle,119392.59184675312,5,1.163865458624426,1.1448280299903988,3.0156,2271.905717188054,1894.31805031298,36.80180929686531,9.1,30,1.0,249.6599689217642,212.21097358349954,2209.788963047457,1851.9638125903382,0.0,1977.9057171880543,1637.119859609846,8.851194577132777,8.72699362015621,201-300,201-300,357.82515045711875,16.192729552040674,377.5876668750741,37.448995338264666,15.000000000000014,0.01903742863402713,1.6357069876897534,0.85,True,-486.05562864154723,False,0.40630433163101515,True
