model,seed,train_r2,train_rmse,train_mae,train_n,val_r2,val_rmse,val_mae,val_n,test_r2,test_rmse,test_mae,test_n,substation
BiLSTM,42,0.8973313109126964,7.84442702673057,5.758563746651395,1396,0.8351035322788642,11.45424146496674,8.361761449634866,272,0.7781537468775224,8.858893947972534,6.7963935929786565,528,Mirpur
BiGRU,42,0.900875658582017,7.7078344162267,5.700563529114581,1396,0.8556873742423929,10.715509414685211,7.64863755674074,272,0.805346079110018,8.298221664844016,6.389188372138744,528,Mirpur
BiLSTM+BiGRU,42,0.9110264964649708,7.302516804123709,5.212349199031061,1396,0.8393447640714119,11.30597706086079,8.135570387664965,272,0.7832755542068536,8.756033291695413,6.709875953213283,528,Mirpur
BiGRU+BiLSTM,42,0.896972478784884,7.858123399308274,5.814470715911733,1396,0.8481925514973212,10.99024055312637,7.920840891893844,272,0.7973111799412638,8.467756304374047,6.500744678791413,528,Mirpur
CNN+BiLSTM+BiGRU,42,0.9066713052395116,7.479108178469239,5.461253350437605,1396,0.8405187810489056,11.264591084845325,7.951800857856322,272,0.7795017969872546,8.831937373582232,6.646607410297021,528,Mirpur
CNN+BiGRU+BiLSTM,42,0.9049701845601601,7.546961974615596,5.4648078834896845,1396,0.8351203532562022,11.453657230347918,8.307357005626512,272,0.74820150808713,9.438000933505421,7.226125118491433,528,Mirpur
BiLSTM,42,0.7719430601814102,7.735650468417309,5.825137271761138,1398,0.6099005134514651,9.019371659762283,6.866622063509353,272,0.7106083125043163,7.668501186886308,6.077444645635255,536,Narinda
BiGRU,42,0.8201818836256314,6.868974655072131,4.960533649699285,1398,0.6866031827245944,8.0841783218516,5.9685296817847036,272,0.810360499351833,6.207716351563321,4.733026207733983,536,Narinda
BiLSTM+BiGRU,42,0.8149353304296915,6.968462222416109,5.0690042249237495,1398,0.6755903275607351,8.224992129994185,6.048743256025345,272,0.8057634825298086,6.282505890007309,4.877074253807929,536,Narinda
BiGRU+BiLSTM,42,0.8162591183588586,6.9434944046701395,5.046232193019588,1398,0.6755681718543776,8.225272989991025,6.036856876980678,272,0.8048459012381488,6.297327813805571,4.871390722928319,536,Narinda
CNN+BiLSTM+BiGRU,42,0.8522997251500292,6.225379678064131,4.373495614206757,1398,0.7194040001500293,7.649434523783393,5.571561954038985,272,0.8507980006896606,5.506235528754015,4.149620285396701,536,Narinda
CNN+BiGRU+BiLSTM,42,0.847656616317994,6.322473105584582,4.500772906933646,1398,0.7068145256972236,7.819154934972371,5.700093751622583,272,0.834172510819476,5.80491313783351,4.392589566158826,536,Narinda
BiLSTM,42,0.7781675320920309,16.292931907400657,12.360068506217765,1386,0.6885009633125769,19.311847473207777,13.793677007745513,272,0.6746402627515866,21.909539519925577,17.11306971738448,533,Savar
BiGRU,42,0.8147322705470005,14.88972156519048,11.25853517943248,1386,0.7299772760413461,17.9802458515473,12.820954731481477,272,0.726177725987622,20.0995221259391,15.428554495958858,533,Savar
BiLSTM+BiGRU,42,0.8120664560396686,14.996462948767318,11.434505829664124,1386,0.7211631514193941,18.27134640921643,13.277166709886759,272,0.6855661971407296,21.538525053118644,17.247599817796246,533,Savar
BiGRU+BiLSTM,42,0.815690594870531,14.851162009720497,11.266726674762745,1386,0.7176943896880379,18.384643941100702,13.303246637177386,272,0.693702896489041,21.25801898506785,16.827096974697344,533,Savar
CNN+BiLSTM+BiGRU,42,0.8018014781590763,15.400573461313192,11.711818559448968,1386,0.7052941939025021,18.784075050099922,13.218997341306771,272,0.6929797822931424,21.28309743534089,16.785678499042724,533,Savar
CNN+BiGRU+BiLSTM,42,0.8082259536728679,15.148917586658417,11.466951480887467,1386,0.7085985735229894,18.67847026646208,13.306437323962285,272,0.6781255465213705,21.79187505066158,17.438649544690733,533,Savar
BiLSTM,42,0.7802435872247924,13.561434292302875,10.166427323941,1347,0.5947939438093612,16.641295926879017,12.642371602293284,269,0.7211882520882955,17.311045947748113,12.847189411138846,521,Shyampur
BiGRU,42,0.7875017082323645,13.33560020464781,10.368098426008542,1347,0.7013965747805531,14.285537064149722,10.637196714629914,269,0.7512331005755043,16.351743695393253,11.893882612787946,521,Shyampur
BiLSTM+BiGRU,42,0.7780541171125278,13.628824279592179,10.26573960001635,1347,0.6493012854850297,15.4816151285738,11.855975728734053,269,0.727491026494718,17.114262086950507,12.600313830722888,521,Shyampur
BiGRU+BiLSTM,42,0.75665397127693,14.270755880982376,11.138938020921982,1347,0.651113585976072,15.441561259866207,11.838090687600207,269,0.7254863404340045,17.17709645167336,12.669318590859762,521,Shyampur
CNN+BiLSTM+BiGRU,42,0.771894066729625,13.816662092853022,10.817243474611061,1347,0.6598816481653962,15.246291279616235,11.101859568851587,269,0.7455667741011187,16.53692233267626,12.035774585029216,521,Shyampur
CNN+BiGRU+BiLSTM,42,0.7909294425047972,13.227607025233366,10.3149246277133,1347,0.6715369413093704,14.982781502142105,11.120907910082863,269,0.7475293269894774,16.473020672123553,12.045686322164055,521,Shyampur
BiLSTM,42,0.562403309832527,10.755640099907268,5.144753030163336,1385,0.7615933552024023,6.328147898006059,4.626284936454477,272,0.6226983477647756,5.976494272373467,4.5638203382950735,536,Ullon
BiGRU,42,0.5714082807305108,10.64439875095819,5.051277338009173,1385,0.7816304123807831,6.0563856225714705,4.407010751511792,272,0.6508120161085498,5.749522784914949,4.285729460756277,536,Ullon
BiLSTM+BiGRU,42,0.5648233183418385,10.725858308585584,5.112938716043413,1385,0.7715425923982993,6.194696947734775,4.4729478332263355,272,0.6398773345598081,5.838850856431594,4.40803907106769,536,Ullon
BiGRU+BiLSTM,42,0.5662292170804457,10.708518604855064,5.117231593073593,1385,0.7761996415553747,6.131233157320366,4.490103181321722,272,0.6450804611088746,5.796516926995189,4.3385635209828575,536,Ullon
CNN+BiLSTM+BiGRU,42,0.5575895809091032,10.814636350780043,5.0771320436476355,1385,0.7555591253071153,6.407732266369836,4.542810711267076,272,0.5603233359814401,6.4516212259326196,4.7603863448229795,536,Ullon
CNN+BiGRU+BiLSTM,42,0.5361446299860883,11.073643598406196,5.584444903544145,1385,0.7600186504614965,6.349012592603039,4.5168871953628775,272,0.5267061830199871,6.693720429262946,4.94730593521287,536,Ullon
BiLSTM,42,0.8718843489593341,6.306513440157917,4.5498081395074195,1383,0.789196989541556,8.45554820154494,6.163527157919701,272,0.7911498248789455,7.36728095064804,5.568188497177116,536,Uttara
BiGRU,42,0.8800160792550769,6.103089746950058,4.319431381645845,1383,0.8065686112413377,8.099660957742033,5.793350487834337,272,0.8181342244861469,6.87488280959567,5.227875931137449,536,Uttara
BiLSTM+BiGRU,42,0.8763483433549709,6.195668907888984,4.428003201872078,1383,0.8024616369950057,8.185196134714994,5.905909168481936,272,0.8053110648733335,7.113125069456392,5.395101813794905,536,Uttara
BiGRU+BiLSTM,42,0.8781292199591267,6.150890945650763,4.376739007139757,1383,0.8049844056235259,8.132761487382336,5.907400884238236,272,0.8164893769063387,6.905902062037742,5.238710274209699,536,Uttara
CNN+BiLSTM+BiGRU,42,0.8767593537519228,6.185363328411317,4.463009686462921,1383,0.7986404505216611,8.263984247715126,6.015012249219068,272,0.7977024503310302,7.25078656344437,5.450322342421025,536,Uttara
CNN+BiGRU+BiLSTM,42,0.8838859431486172,6.003861029638916,4.273112004396498,1383,0.8142667702777514,7.936849964756742,5.656213937767726,272,0.8172059352918205,6.892406052877518,5.141011107041597,536,Uttara
BiLSTM,42,0.8111140034716562,6.134143896973102,3.558736856698182,1346,0.6506538676816975,6.922439197475252,4.780393370207137,269,0.8308288936470479,6.644279584136893,4.493127138544289,531,Uttara New
BiGRU,42,0.786457556322242,6.522231098674885,4.350083044907559,1346,0.6663021157020029,6.765624756009165,4.748899610239775,269,0.8305207847502796,6.650327396993243,4.6977325801215954,531,Uttara New
BiLSTM+BiGRU,42,0.8135603018786812,6.094292213602023,3.5237642496594814,1346,0.6647039536356348,6.7818065333624,4.67433234584985,269,0.8381382656557939,6.499155061623593,4.437470702594126,531,Uttara New
BiGRU+BiLSTM,42,0.8114135045076216,6.129278763159517,3.5583495410695316,1346,0.6629527880816192,6.799493291185537,4.702429518820957,269,0.8287806407486603,6.6843816417427835,4.602096792341903,531,Uttara New
CNN+BiLSTM+BiGRU,42,0.828576665568933,5.843715281094444,3.242679859179821,1346,0.6228349764935701,7.1927818021798995,5.084061147790528,269,0.8206653827812684,6.840957134049778,4.629926862625194,531,Uttara New
CNN+BiGRU+BiLSTM,42,0.6832032640465244,7.9440949781996295,6.417033734976035,1346,0.6308192260658397,7.1162421554969715,5.207697202368851,269,0.8006840944211107,7.212001072203251,5.153136502246736,531,Uttara New
