substation,model,horizon_days,train_r2,val_r2,val_rmse,test_r2,test_rmse,test_mae,val_mape,test_mape,sigma_k_mw,z_beta_sigma_mw
Agargaon,BiGRU+BiLSTM,15,0.6613458038612383,0.4745784707331595,15.09865574332712,0.09400246235815157,14.674671668123255,12.851856149790413,12.684088474980184,12.443954386470068,13.4137,17.1903
Agargaon,CNN+BiLSTM+BiGRU,1,0.6426012768755767,0.5612993635400456,14.401298030669452,0.16901176277126106,14.417990316393745,12.707444390484739,12.492034117099273,12.286009044388567,12.69,16.2629
Agargaon,CNN+BiLSTM+BiGRU,2,0.6411360137494395,0.5456351984821985,14.62431497778428,0.15301650973893743,14.540882854891487,12.814800400170508,12.538866555349227,12.382476263346684,12.7913,16.3927
Agargaon,CNN+BiLSTM+BiGRU,3,0.6370585385924685,0.5332940043373673,14.78133855782305,0.1288222962773281,14.74230025492306,12.948297897557033,12.572274280934833,12.48329215845738,12.9022,16.5349
Agargaon,CNN+BiLSTM+BiGRU,4,0.6346768658986448,0.5090542665994019,15.1045506230288,0.07056524517021534,15.230491588022916,13.3687972449857,12.82604162604609,12.848657141804706,13.0503,16.7246
Agargaon,CNN+BiLSTM+BiGRU,5,0.6285787117112707,0.5173222644970525,14.931320260556461,0.10277394415670105,14.954891068693426,13.124611390825143,12.677484963772665,12.637966196174041,12.981,16.6359
Agargaon,CNN+BiLSTM+BiGRU,6,0.6334560030952279,0.5095480911282135,15.003611432701762,0.07136675964945505,15.178359559281736,13.337167187516412,12.646492058779257,12.836936190607243,12.9315,16.5723
Agargaon,CNN+BiLSTM+BiGRU,7,0.6311329356383297,0.5085678424507343,14.973682112687438,0.06632435539473058,15.199650764823629,13.347478209476417,12.539383474210863,12.838574872205012,12.91,16.5448
Agargaon,CNN+BiLSTM+BiGRU,8,0.6290398329812139,0.5008180899420079,15.018641513049621,0.04304032112006362,15.370251418699052,13.492602506170288,12.480796477570632,12.951517543617545,12.8767,16.5021
Agargaon,CNN+BiLSTM+BiGRU,9,0.6296062903317239,0.4925512358090576,15.08641676465856,0.022873456852962493,15.494954249122566,13.5928529283781,12.517757950696357,13.030282000739007,12.8679,16.4909
Agargaon,CNN+BiLSTM+BiGRU,10,0.6245104245013553,0.48140329540420057,15.185047011124714,0.008381086689782102,15.568781630909601,13.649248661084549,12.671775327622326,13.07542588427119,12.9359,16.578
Agargaon,CNN+BiLSTM+BiGRU,11,0.6183675016489527,0.4992689269039995,14.907529990219441,-0.007764575751260772,15.660439223130835,13.748900750583626,12.597693261313731,13.163948955581334,12.6705,16.2379
Agargaon,CNN+BiLSTM+BiGRU,12,0.6153298171330632,0.48804404235625964,15.015199785521853,-0.03137286753039237,15.7887666979668,13.88568575390048,12.630533101161681,13.289098331456364,12.707,16.2847
Agargaon,CNN+BiLSTM+BiGRU,13,0.6143127279679133,0.49656598617513936,14.897321102217216,-0.039726566317602297,15.80314802368887,13.91466122500457,12.501082326707042,13.317616350566771,12.5832,16.126
Agargaon,CNN+BiLSTM+BiGRU,14,0.6114761724105207,0.48890478425960104,14.943945055188113,-0.06312092099702338,15.937481927707195,14.049009482208842,12.465985162517699,13.423498505450503,12.5721,16.1118
Agargaon,CNN+BiLSTM+BiGRU,15,0.6128282450183882,0.47934836480629506,15.029965004749027,-0.08738292941910042,16.076671576903646,14.189628450824397,12.59220787484182,13.542251617340916,12.537,16.0668
Agargaon,CNN+BiGRU+BiLSTM,1,0.6683780144873137,0.5261199196317787,14.96758497947184,0.15458121093461652,14.542639523173802,12.779929029737433,13.158417238864473,12.3642820912463,12.8413,16.4567
Agargaon,CNN+BiGRU+BiLSTM,2,0.6703956364168593,0.5009574270455206,15.32646474033186,0.12287206450371613,14.797378226642715,12.989466816505725,13.311951324922802,12.542684664300902,13.0648,16.7433
Agargaon,CNN+BiGRU+BiLSTM,3,0.6672959424113073,0.5032946201611481,15.24900497842226,0.13978288823355167,14.649267687221833,12.827881639055477,13.199027979527719,12.393482452762429,13.0914,16.7773
Agargaon,CNN+BiGRU+BiLSTM,4,0.6711361283500665,0.4936285290584014,15.340011272192985,0.12378188964055103,14.788038739862735,12.948224020291041,13.218496571045076,12.488477165851142,13.0625,16.7403
Agargaon,CNN+BiGRU+BiLSTM,5,0.6640525948190132,0.47282829890566935,15.604347812361976,0.06368897728334888,15.277151429908546,13.353400816284253,13.378357653574621,12.825302211956327,13.2129,16.933
Agargaon,CNN+BiGRU+BiLSTM,6,0.6692722097561596,0.45099171981881137,15.87402430214514,0.007622938056142781,15.690655334815537,13.735477471715992,13.506669094803843,13.17214851334855,13.198,16.914
Agargaon,CNN+BiGRU+BiLSTM,7,0.6618337259925327,0.4542824087598928,15.779048091613047,0.019677497480937833,15.574713992924558,13.617203218756973,13.468373469261003,13.052381543674246,13.2413,16.9694
Agargaon,CNN+BiGRU+BiLSTM,8,0.6652801563968118,0.4694252463485492,15.483691948395835,0.08882759769996118,14.998037339988189,13.130697094266697,13.27701746177064,12.646575607003413,13.0648,16.7432
Agargaon,CNN+BiGRU+BiLSTM,9,0.6551594919492698,0.4496142732928382,15.711714640152314,0.027891165378114757,15.45511844923026,13.517794968678697,13.3845669775948,12.958906845077738,13.203,16.9203
Agargaon,CNN+BiGRU+BiLSTM,10,0.6574003102116395,0.4489731520028135,15.652641708584358,0.04620890383946108,15.26893894111574,13.35175272086543,13.393883288152308,12.814003601912413,13.1796,16.8904
Agargaon,CNN+BiGRU+BiLSTM,11,0.6569721004896732,0.4637930522081575,15.426579403512974,0.014184501496739,15.48895846215751,13.559842947465624,13.356133184410195,12.99404061895823,12.8926,16.5225
Agargaon,CNN+BiGRU+BiLSTM,12,0.6523572262997732,0.4493994246106693,15.571596622477152,-0.027310136060367363,15.75763886060876,13.787669250961173,13.395031629734763,13.175573717580805,12.9541,16.6014
Agargaon,CNN+BiGRU+BiLSTM,13,0.6535919019803309,0.4478958335751817,15.60081955683095,-0.05247337894803983,15.899724435066867,13.95037033252389,13.42380924227351,13.338308650012795,12.8995,16.5313
Agargaon,CNN+BiGRU+BiLSTM,14,0.6508240342023272,0.4263896800026763,15.831527965372521,-0.11383301752542896,16.31317205774422,14.329890514192146,13.597834694225108,13.675572158545851,12.9554,16.603
Agargaon,CNN+BiGRU+BiLSTM,15,0.6410248087063822,0.4291962030722868,15.737211360657264,-0.09822043954602022,16.156587820494924,14.203893837008827,13.503998431098887,13.568328181194362,12.985,16.641
Bangabhaban,BiLSTM,1,0.5937325060211667,0.24799512188970962,6.52044014134017,0.4264406019297501,5.294162972470318,4.159142715059275,63.52891791784007,64.73197097858868,6.5098,8.3427
Bangabhaban,BiLSTM,2,0.5766343500500164,0.21422901255563398,6.6643226957339925,0.40647800056183936,5.3916347630973265,4.301556976777679,65.41269847706673,65.99831798133812,6.6466,8.5179
Bangabhaban,BiLSTM,3,0.5629436480543817,0.2036937948311044,6.708849867734033,0.39955031693736076,5.425560749003698,4.322629850248035,65.78827271567046,66.2507587427915,6.6947,8.5796
Bangabhaban,BiLSTM,4,0.5671784582928281,0.20236959552053446,6.714425715365663,0.42068033384616044,5.326815191820365,4.225451511774899,65.18643823826292,64.0332476967519,6.7111,8.6006
Bangabhaban,BiLSTM,5,0.5547760692410102,0.21102520312299766,6.690653808068477,0.39806709666582585,5.429334251049055,4.30407210107828,65.01780299671857,64.20126017565038,6.6978,8.5835
Bangabhaban,BiLSTM,6,0.5995325126536657,0.2108112617912754,6.691560877830513,0.4696325416017748,5.101581716977289,3.953238560640502,62.58339422819205,58.10075536830119,6.7011,8.5878
Bangabhaban,BiLSTM,7,0.584748279817479,0.20058022428078337,6.731556444152172,0.425495624725409,5.310663637710238,4.143522038087444,64.33273507003908,62.43602997460147,6.7385,8.6357
Bangabhaban,BiLSTM,8,0.5666488464915552,0.16584607891379832,6.880558776865022,0.4013089544059918,5.430209920529278,4.2595873273717055,67.36816300223154,64.91237420290219,6.8744,8.8099
Bangabhaban,BiLSTM,9,0.5605424977995441,0.16614815853563802,6.889079357064586,0.38395291582671653,5.511718516491971,4.38992710812578,68.25871289046434,66.4170695767075,6.8755,8.8113
Bangabhaban,BiLSTM,10,0.5484037114594678,0.16426247774046687,6.906612595680653,0.38779321110830967,5.499439737297979,4.380605577752188,68.52947381110144,65.77003702348017,6.8969,8.8387
Bangabhaban,BiLSTM,11,0.5581002770780532,0.183256476415816,6.821881959929263,0.3987064229471392,5.449307203159649,4.334763218839056,67.36739467902261,64.26405474711073,6.8181,8.7378
Bangabhaban,BiLSTM,12,0.5423415593033512,0.19614146714037084,6.773465865548563,0.3941256579479493,5.470922511323745,4.385904193927923,66.56084544088155,63.815308150853035,6.7793,8.688
Bangabhaban,BiLSTM,13,0.5776743289787188,0.20111172460757798,6.757856020545699,0.4580684220489779,5.179532063313956,4.095572915189514,63.58531719290605,58.35462087550351,6.7671,8.6724
Bangabhaban,BiLSTM,14,0.5558380237263155,0.21741332649529777,6.676089377430233,0.4132756597947185,5.389337103584678,4.260725390107971,63.50031018256422,61.766001966940664,6.683,8.5646
Bangabhaban,BiLSTM,15,0.5412510772653873,0.2019991360585962,6.739330130816496,0.39181737236274794,5.495514963856454,4.3327028020315135,66.88301518779372,65.4145246418666,6.7224,8.6151
Bangabhaban,BiGRU,1,0.7052912350016733,0.28508372578241403,6.357614275297959,0.566798020815904,4.601011535981515,3.465719439970914,57.95004779406785,52.64016413959918,6.3593,8.1498
