substation,model,train_r2,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,val_mape,test_mape,val_r2_lead1,val_r2_lead7,val_r2_lead15,test_r2_lead1,test_r2_lead7,test_r2_lead15,sigma_1_mw,sigma_15_mw,horizon,weight_mode,epochs_run,train_seconds
Matual,CNN+BiGRU+BiLSTM,0.5946285886311671,0.1719840684891939,10.051725004562217,8.011483069035188,0.36656587544097874,9.734776268010725,7.5222748032965505,13.94760768887926,13.447012540069698,0.41879453389317256,0.12512581188195326,0.10165145818540533,0.6694770270300223,0.35436570432960535,0.1535152295167489,8.231276549039016,10.623887137505543,15,uniform,130,211.2
Mirpur,BiLSTM,0.7646208390050319,0.6066087952949629,15.557360579828897,12.154666882119141,0.31140301408080606,14.816684926982692,10.54510936280116,9.827638905693554,9.294311996225069,0.6768065019393485,0.5716678642785222,0.6341258483358753,0.5691855767021651,0.28688000284651405,0.19095645002771378,14.22776786959143,14.93275888320232,15,uniform,74,123.9
Mirpur,BiGRU,0.705753273461831,0.5931731050280082,15.814557279835286,12.253558659022675,0.301668754605767,14.919147273788194,10.812830157595704,9.881996625026614,9.422511424925181,0.6978344049763421,0.5672362080072288,0.5740561695097437,0.5676518564572008,0.2790632033530659,0.1919700138821846,13.759845674811379,16.123631942337408,15,uniform,67,107.2
Mirpur,BiLSTM+BiGRU,0.749402350877342,0.594588252740846,15.791234415478149,12.58748283343048,0.2901841780776279,15.040995597810639,10.905183347986759,10.333099572785427,9.605438085924193,0.6760400459997522,0.5563596176163115,0.6120843443026773,0.5438133372672285,0.27031836479423565,0.16233324303034957,14.220837987444266,15.361146951101386,15,uniform,89,145.8
Mirpur,BiGRU+BiLSTM,0.6968301309999916,0.5984171386057446,15.72325993049256,12.275866372767835,0.28912922473267794,15.066744108790193,10.946765472991455,9.86453840890968,9.587811775733824,0.6631908761655742,0.5756688774340903,0.5952285020539141,0.5252113711769245,0.2806491381341295,0.1799198167810354,14.496042372118866,15.72251570569506,15,uniform,80,131.9
Mirpur,CNN+BiLSTM+BiGRU,0.6218627095211935,0.6172304397646285,15.35670545194087,11.801726328381958,0.19483299694623354,16.06591134781483,12.068664369667266,9.57219454115539,10.64392261836382,0.6256739971056489,0.6030696772731922,0.6214495196313831,0.32182735495676273,0.17467409351370633,0.12637756918634124,15.301662692129808,15.20623096332579,15,uniform,67,109.1
Mirpur,CNN+BiGRU+BiLSTM,0.6506652723983095,0.6133370415411773,15.432384755025927,11.981828006661805,0.2770390633734166,15.21230007015473,11.093827204823848,9.608298435054317,9.702562065582338,0.6456638340547034,0.5934850604263479,0.618702880761663,0.44731976827971554,0.2572957268162823,0.20226997277729808,14.88595247474192,15.222523137518658,15,uniform,55,89.9
Narinda,BiLSTM,0.5308622953395955,0.27518040504165814,11.713862041623448,9.408019192795656,0.308377868038968,11.697285821554225,9.226852992583025,18.24979072028294,16.754826333531458,0.482860651497802,0.255369446239472,0.212830536940385,0.5313968508799536,0.30275537609752434,0.20897231745765432,9.823195422885858,12.067501992094988,15,uniform,61,98.9
Narinda,BiGRU,0.5168595233536345,0.2817089666860495,11.65990707381758,9.393580773148141,0.2957373494424307,11.800041292730965,9.509149173918058,17.853415056444966,16.870190921255492,0.49369276005066776,0.26572391742275425,0.20968910569253318,0.5406436663792742,0.2869442590557296,0.17521269909839166,9.779973477120144,12.162386769661705,15,uniform,63,100.8
Narinda,BiLSTM+BiGRU,0.5176072759214387,0.293115876959537,11.5641413762341,9.21681617501916,0.31064940758464393,11.665516373074341,9.381647748528984,17.677257598774414,16.743963530623017,0.5022733852382402,0.2808510204110437,0.20983575107310526,0.5547377550940967,0.33083776560561384,0.15974594150030252,9.656111513850286,12.129667406772253,15,uniform,64,106.0
