model,substation,n_runs,train_r2,train_r2_std,val_r2,val_r2_std,test_r2,test_r2_std,test_rmse,test_rmse_std,test_mae,test_mae_std,train_rmse,train_rmse_std,train_mae,train_mae_std,val_rmse,val_rmse_std,val_mae,val_mae_std,train_n,val_n,test_n,test_r2_min,test_r2_max,best_seed
BiLSTM,Maniknagar,1.0,0.7905436730687688,0.0,0.6162914226398573,0.0,0.7971047462827533,0.0,6.509479906193214,0.0,4.95268320611545,0.0,8.065963252883533,0.0,5.876652307295725,0.0,8.86363816433533,0.0,7.022675368706791,0.0,1555.0,196.0,525,0.7971047462827533,0.7971047462827533,42.0
BiGRU,Maniknagar,1.0,0.8317126750597931,0.0,0.6426885692351658,0.0,0.8197908610282147,0.0,6.1347766040543465,0.0,4.647099246524629,0.0,7.229948452810767,0.0,5.049312214529401,0.0,8.553319994093345,0.0,6.652874113497686,0.0,1555.0,196.0,525,0.8197908610282147,0.8197908610282147,42.0
BiLSTM+BiGRU,Maniknagar,1.0,0.8311635959771865,0.0,0.6348364023383126,0.0,0.8145082155901102,0.0,6.224044461619518,0.0,4.701515689009712,0.0,7.2417335964990315,0.0,5.086283452411174,0.0,8.646791831860472,0.0,6.781861917857005,0.0,1555.0,196.0,525,0.8145082155901102,0.8145082155901102,42.0
BiGRU+BiLSTM,Maniknagar,1.0,0.8169636370570634,0.0,0.6338035216544935,0.0,0.8047110909438304,0.0,6.386297361755506,0.0,4.856354215542475,0.0,7.540118758373399,0.0,5.3700173351542375,0.0,8.659012104817307,0.0,6.8402186291558404,0.0,1555.0,196.0,525,0.8047110909438304,0.8047110909438304,42.0
CNN+BiLSTM+BiGRU,Maniknagar,1.0,0.8465978468458377,0.0,0.6304509546611494,0.0,0.8214563081689159,0.0,6.106362778885897,0.0,4.708355816091809,0.0,6.902798961947009,0.0,4.798996455799729,0.0,8.698558877280082,0.0,6.666369115211526,0.0,1555.0,196.0,525,0.8214563081689159,0.8214563081689159,42.0
CNN+BiGRU+BiLSTM,Maniknagar,1.0,0.7973081193860847,0.0,0.6430731448965598,0.0,0.8174320159618446,0.0,6.174796606840702,0.0,4.834013515824363,0.0,7.934648152066253,0.0,5.812834037902657,0.0,8.548715769339688,0.0,6.678090405251298,0.0,1555.0,196.0,525,0.8174320159618446,0.8174320159618446,42.0
Naive-Persistence,Maniknagar,,,,,,0.7820011287218575,,6.747415731049855,,4.876190476190477,,,,,,,,,,,,525,,,
Naive-Seasonal7,Maniknagar,,,,,,0.39590863777280927,,11.232118063414228,,8.06952380952381,,,,,,,,,,,,525,,,
BiLSTM,Matual,1.0,0.7529354314991348,0.0,0.5499470652575362,0.0,0.7916899099921935,0.0,5.925965706733958,0.0,4.437724208377885,0.0,6.514077546752509,0.0,4.87973194400648,0.0,8.681482468558503,0.0,6.61270415093088,0.0,1559.0,197.0,499,0.7916899099921935,0.7916899099921935,42.0
BiGRU,Matual,1.0,0.7976081309139034,0.0,0.5888388477205394,0.0,0.8278748069694497,0.0,5.386742315414603,0.0,3.906675466745795,0.0,5.895820067898683,0.0,4.2409622235815085,0.0,8.29789874019118,0.0,6.1613361388293635,0.0,1559.0,197.0,499,0.8278748069694497,0.8278748069694497,42.0
BiLSTM+BiGRU,Matual,1.0,0.7768273292728082,0.0,0.5813561686122837,0.0,0.8119177179546897,0.0,5.630901409215835,0.0,4.131080706587775,0.0,6.191105372896214,0.0,4.539469477356515,0.0,8.373064596907277,0.0,6.301835950013952,0.0,1559.0,197.0,499,0.8119177179546897,0.8119177179546897,42.0
BiGRU+BiLSTM,Matual,1.0,0.7588923343892588,0.0,0.5744875709935524,0.0,0.792415765999486,0.0,5.915632190478917,0.0,4.356342254205793,0.0,6.435068875234245,0.0,4.730488254107904,0.0,8.441472667567385,0.0,6.484553414613464,0.0,1559.0,197.0,499,0.792415765999486,0.792415765999486,42.0
CNN+BiLSTM+BiGRU,Matual,1.0,0.8394467140450921,0.0,0.5470706834300121,0.0,0.8394864831259757,0.0,5.201873488403585,0.0,3.7806347567476113,0.0,5.2511846475760295,0.0,3.6853839353080597,0.0,8.709180861739934,0.0,6.414232667690607,0.0,1559.0,197.0,499,0.8394864831259757,0.8394864831259757,42.0
CNN+BiGRU+BiLSTM,Matual,1.0,0.7811025078243672,0.0,0.5654284601316271,0.0,0.8121495758360922,0.0,5.627429600324087,0.0,4.164683152726276,0.0,6.131519071945645,0.0,4.498412373250996,0.0,8.530858413047811,0.0,6.45117142817696,0.0,1559.0,197.0,499,0.8121495758360922,0.8121495758360922,42.0
Naive-Persistence,Matual,,,,,,0.7437363146579878,,6.572756061538339,,4.680561122244489,,,,,,,,,,,,499,,,
Naive-Seasonal7,Matual,,,,,,0.12032287073815251,,12.177710098638947,,7.764729458917836,,,,,,,,,,,,499,,,
BiLSTM,Mirpur,1.0,0.8437031842265706,0.0,0.6707913455127713,0.0,0.7414431334618661,0.0,9.563822155397794,0.0,7.416590150712675,0.0,9.414891189584843,0.0,7.17376125837691,0.0,13.53376848371732,0.0,10.493541040235215,0.0,1557.0,197.0,528,0.7414431334618661,0.7414431334618661,42.0
BiGRU,Mirpur,1.0,0.8781436751358416,0.0,0.6876709415973905,0.0,0.7843641116715224,0.0,8.734015830566033,0.0,6.671592160293998,0.0,8.313124370571916,0.0,6.16706717748221,0.0,13.182243117954151,0.0,10.231275842235174,0.0,1557.0,197.0,528,0.7843641116715224,0.7843641116715224,42.0
BiLSTM+BiGRU,Mirpur,1.0,0.8631346859567028,0.0,0.674006158185178,0.0,0.7617595995162174,0.0,9.180390583985353,0.0,7.13622466126795,0.0,8.810223769432811,0.0,6.665663903478193,0.0,13.467525889813485,0.0,10.499614625005858,0.0,1557.0,197.0,528,0.7617595995162174,0.7617595995162174,42.0
BiGRU+BiLSTM,Mirpur,1.0,0.8707567900288479,0.0,0.6812348399050798,0.0,0.7802270140093899,0.0,8.817401321878954,0.0,6.814920097384598,0.0,8.561386587290041,0.0,6.42047651300861,0.0,13.31737243015637,0.0,10.437503610141391,0.0,1557.0,197.0,528,0.7802270140093899,0.7802270140093899,42.0
CNN+BiLSTM+BiGRU,Mirpur,1.0,0.8064466116333456,0.0,0.6760077974173939,0.0,0.7357724309804186,0.0,9.66813081895356,0.0,7.474393154778795,0.0,10.477088906480116,0.0,8.251086426594684,0.0,13.426116157166945,0.0,10.362782834381019,0.0,1557.0,197.0,528,0.7357724309804186,0.7357724309804186,42.0
