var_type,value,unit,substation,date,slot_index,clock,equation,id
B_ch,0.0,kW,Dhanmondi,2026-06-14,23,11:30,(17),DEC-DHN-2026-06-14-23-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,23,11:30,(17),DEC-DHN-2026-06-14-23-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,23,11:30,(17),DEC-DHN-2026-06-14-23-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,23,11:30,(17),DEC-DHN-2026-06-14-23-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,23,11:30,(17),DEC-DHN-2026-06-14-23-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,23,11:30,(17),DEC-DHN-2026-06-14-23-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,23,11:30,(17),DEC-DHN-2026-06-14-23-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,23,11:30,(17),DEC-DHN-2026-06-14-23-Z_curtailable
G,115040.52033466114,kW,Dhanmondi,2026-06-14,24,12:00,(17),DEC-DHN-2026-06-14-24-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,24,12:00,(17),DEC-DHN-2026-06-14-24-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,24,12:00,(17),DEC-DHN-2026-06-14-24-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,24,12:00,(17),DEC-DHN-2026-06-14-24-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,24,12:00,(17),DEC-DHN-2026-06-14-24-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,24,12:00,(17),DEC-DHN-2026-06-14-24-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,24,12:00,(17),DEC-DHN-2026-06-14-24-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,24,12:00,(17),DEC-DHN-2026-06-14-24-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,24,12:00,(17),DEC-DHN-2026-06-14-24-Z_curtailable
